Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Villager Gender,Style 1,Style 2,Label Themes,Sort Order,Type,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
apple hat,#REF!,#REF!,NA,Yes,NFS,1000,103,Red,Yellow,1x1,NA,NA,Crafting,,NA,NA,All Year,Autumn,NA,Free,Free,Cute,Cute,fairy tale; party; theatrical,1,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatApple0,1122,9871,rEpxF8jscsm4fwjSf
Aran-knit cap,#REF!,#REF!,White,No,880,220,51,White,White,1x1,790,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,Winter,Free,Free,Simple,Elegant,everyday; outdoorsy; comfy,1,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAlan0,1115,9864,6Zi8WYr34D8niHAnC
Aran-knit cap,#REF!,#REF!,Red,No,880,220,51,Red,Red,1x1,790,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; outdoorsy; comfy,2,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAlan1,1115,12045,uFfoH47SuuTmAzaXG
Aran-knit cap,#REF!,#REF!,Green,No,880,220,51,Green,Green,1x1,790,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; outdoorsy; comfy,3,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAlan3,1115,12047,fnowt95fR7QRBrux7
Aran-knit cap,#REF!,#REF!,Blue,No,880,220,51,Blue,Blue,1x1,790,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; outdoorsy; comfy,4,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAlan2,1115,12046,jeSebE2Y5fYhTj22k
baby's hat,#REF!,#REF!,Baby pink,No,560,140,51,Red,White,1x1,500,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,comfy,1,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBonnet4,707,11856,wyPrRhtyyMtn7Hy3Y
baby's hat,#REF!,#REF!,Baby purple,No,560,140,51,Pink,White,1x1,500,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,comfy,2,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBonnet1,707,11853,5939Ws882wTSv7sJK
baby's hat,#REF!,#REF!,Baby orange,No,560,140,51,Orange,White,1x1,500,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,comfy,3,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBonnet7,707,11859,Pf6AxNWkC8D4BBoEN
baby's hat,#REF!,#REF!,Baby yellow,No,560,140,51,Yellow,White,1x1,500,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,comfy,4,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBonnet2,707,11854,qk3PJdK2SZK4vsFKo
baby's hat,#REF!,#REF!,Baby green,No,560,140,51,Green,White,1x1,500,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,comfy,5,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBonnet3,707,11855,hADTfx6Y2hKri4obE
baby's hat,#REF!,#REF!,Baby mint,No,560,140,51,Aqua,White,1x1,500,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,comfy,6,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBonnet0,707,5363,rv9rW8dCfB8k73Hzr
baby's hat,#REF!,#REF!,Baby blue,No,560,140,51,Blue,White,1x1,500,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,comfy,7,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBonnet6,707,11858,qHj5WWwZRstJtjP2d
baby's hat,#REF!,#REF!,Baby gray,No,560,140,51,Beige,White,1x1,500,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,comfy,8,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBonnet5,707,11857,7FLgET2RH6aejsb8v
balloon hat,#REF!,#REF!,Orange,No,1120,280,51,Orange,Pink,1x1,1000,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,party; theatrical,1,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBalloon1,689,11050,rWRnH9TkRg3o9xDJQ
balloon hat,#REF!,#REF!,Green,No,1120,280,51,Green,Yellow,1x1,1000,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,party; theatrical,2,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBalloon3,689,11052,CwDPA4FeLvQ44QncE
balloon hat,#REF!,#REF!,Blue,No,1120,280,51,Blue,Purple,1x1,1000,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,party; theatrical,3,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBalloon2,689,11051,oKbK2uhkLaQaRnpWW
balloon hat,#REF!,#REF!,Rainbow,No,1120,280,51,Colorful,Colorful,1x1,1000,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,party; theatrical,4,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBalloon0,689,5340,Y2LX2RKY9fu4DtjFs
bamboo hat,#REF!,#REF!,NA,Yes,NFS,200,103,Beige,Beige,1x1,NA,NA,Crafting,,NA,NA,All Year,All Year,NA,Free,Free,Simple,Active,fairy tale; outdoorsy,1,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatAjiroBeige,594,5143,ehxYwYvtXQ5wyi3pQ
barrette,#REF!,#REF!,NA,No,490,122,51,Pink,White,1x1,440,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Elegant,Cute,everyday; fairy tale; party,1,HeadHairOrnament_Back,Yes,For sale,1.0.0,Yes,CapOrnamentTBarrette0,1111,9860,BK2NAfuYfrr4womPM
baseball cap,#REF!,#REF!,Orange,No,840,210,51,Black,Orange,1x1,760,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,outdoorsy; sporty; work,1,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBaseball3,1061,12094,HE8xZkXbRspp6qgoE
baseball cap,#REF!,#REF!,Yellow,No,840,210,51,Black,Yellow,1x1,760,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,outdoorsy; sporty; work,2,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBaseball4,1061,12095,rci5SRCfQ3Hre9vsT
baseball cap,#REF!,#REF!,Red,No,840,210,51,Red,Red,1x1,760,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,outdoorsy; sporty; work,3,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBaseball0,1061,9763,Yt7QudxePYGMbwcWt
baseball cap,#REF!,#REF!,Green,No,840,210,51,Green,Green,1x1,760,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,outdoorsy; sporty; work,4,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBaseball2,1061,12093,xYaGzJECou3ALoBz4
baseball cap,#REF!,#REF!,Navy blue,No,840,210,51,Blue,Blue,1x1,760,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,outdoorsy; sporty; work,5,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBaseball1,1061,12092,PomndWn5sqv7fZ86a
batter's helmet,#REF!,#REF!,Orange,No,1040,260,51,Black,Orange,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,1,Headgear_NoEar,No,For sale,1.0.0,Yes,CapHelmetBaseball3,709,11598,ohKfr9GPDP7QdRSnC
batter's helmet,#REF!,#REF!,Yellow,No,1040,260,51,Black,Yellow,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,2,Headgear_NoEar,No,For sale,1.0.0,Yes,CapHelmetBaseball4,709,11599,4bFJaJ5S9qqevW4sx
batter's helmet,#REF!,#REF!,Red,No,1040,260,51,Red,Red,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,3,Headgear_NoEar,No,For sale,1.0.0,Yes,CapHelmetBaseball0,709,5366,5YfnKAsTFYFEyGCJb
batter's helmet,#REF!,#REF!,Green,No,1040,260,51,Green,Green,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,4,Headgear_NoEar,No,For sale,1.0.0,Yes,CapHelmetBaseball2,709,11597,GfWeB9jgoCTfuG9Lv
batter's helmet,#REF!,#REF!,Navy blue,No,1040,260,51,Blue,Blue,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,5,Headgear_NoEar,No,For sale,1.0.0,Yes,CapHelmetBaseball1,709,11596,zRQ6hi9FeiQcLXwzH
bear cap,#REF!,#REF!,Brown,No,1120,280,51,Brown,Beige,1x1,1000,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,fairy tale; party; theatrical,1,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBear0,682,5330,qmkSD7yKDpFvdxcPK
bear cap,#REF!,#REF!,Black,No,1120,280,51,Black,Beige,1x1,1000,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,fairy tale; party; theatrical,2,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBear1,682,11704,6Lrqy6EP9zYBc9Cvj
bear cap,#REF!,#REF!,Pink,No,1120,280,51,Pink,Beige,1x1,1000,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,fairy tale; party; theatrical,3,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBear2,682,11705,CK638wXoN5uPsRbYJ
bear cap,#REF!,#REF!,Blue,No,1120,280,51,Aqua,White,1x1,1000,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,fairy tale; party; theatrical,4,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBear3,682,11706,MfoAxTnsMmTQBic6g
beret,#REF!,#REF!,White,No,880,220,51,White,White,1x1,790,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,All Year,Free,Free,Elegant,Elegant,everyday; formal; party,1,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBeret5,636,11527,4cJGWuLDDa2emHT9H
beret,#REF!,#REF!,Gray,No,880,220,51,Gray,Gray,1x1,790,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,Winter,Free,Free,Elegant,Elegant,everyday; formal; party,2,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBeret4,636,11526,RumHCxfL5TsdeSodA
beret,#REF!,#REF!,Berry red,No,880,220,51,Red,Red,1x1,790,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,Winter,Free,Free,Elegant,Elegant,everyday; formal; party,3,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBeret0,636,5260,iPsbB4mbQ899q2j57
beret,#REF!,#REF!,Mustard,No,880,220,51,Yellow,Yellow,1x1,790,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Free,Free,Elegant,Elegant,everyday; formal; party,4,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBeret3,636,11525,gW77mBgBYahG3WcYf
beret,#REF!,#REF!,Green,No,880,220,51,Green,Green,1x1,790,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Free,Free,Elegant,Elegant,everyday; formal; party,5,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBeret2,636,11524,39uW3hcrPpBpudJrm
beret,#REF!,#REF!,Blue,No,880,220,51,Blue,Blue,1x1,790,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Free,Free,Elegant,Elegant,everyday; formal; party,6,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBeret1,636,11523,9CLccmJpKhs7z7GsP
bicycle helmet,#REF!,#REF!,Red,No,1100,275,51,Red,Black,1x1,990,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty,1,HeadCap,Yes,For sale,1.0.0,Yes,CapHatCyclemet2,645,10220,QDn7xQHdWZ6xPh3BT
bicycle helmet,#REF!,#REF!,Pink,No,1100,275,51,Pink,Black,1x1,990,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty,2,HeadCap,Yes,For sale,1.0.0,Yes,CapHatCyclemet7,645,10225,RZCHqdZeoMmDoGm4m
bicycle helmet,#REF!,#REF!,Orange,No,1100,275,51,Orange,Black,1x1,990,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty,3,HeadCap,Yes,For sale,1.0.0,Yes,CapHatCyclemet5,645,10223,4GFrms76iFwwqSCkm
bicycle helmet,#REF!,#REF!,Lime,No,1100,275,51,Yellow,Black,1x1,990,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty,4,HeadCap,Yes,For sale,1.0.0,Yes,CapHatCyclemet3,645,10221,mM2hGRaCP5ZaDdab6
bicycle helmet,#REF!,#REF!,Green,No,1100,275,51,Green,Black,1x1,990,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty,5,HeadCap,Yes,For sale,1.0.0,Yes,CapHatCyclemet4,645,10222,qqDW5HCEQdMJx5H5B
bicycle helmet,#REF!,#REF!,Blue,No,1100,275,51,Aqua,Black,1x1,990,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty,6,HeadCap,Yes,For sale,1.0.0,Yes,CapHatCyclemet0,645,5282,kWrRgRFJ8PYExJvL6
bicycle helmet,#REF!,#REF!,Navy blue,No,1100,275,51,Blue,Black,1x1,990,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty,7,HeadCap,Yes,For sale,1.0.0,Yes,CapHatCyclemet1,645,10219,tXGWFr2hrkQg6XgKy
bicycle helmet,#REF!,#REF!,Purple,No,1100,275,51,Purple,Black,1x1,990,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty,8,HeadCap,Yes,For sale,1.0.0,Yes,CapHatCyclemet6,645,10224,D2BTXoTXvvGwzyyuF
birthday hat,#REF!,#REF!,Pink,No,NFS,600,573,Pink,White,1x1,NA,NA,Birthday,,Birthday,Yes,All Year,All Year,NA,Free,Free,Gorgeous,Gorgeous,party,1,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatBirthday2,551,11032,SHSKySrv2c9QJHFbt
birthday hat,#REF!,#REF!,Yellow,No,NFS,600,573,Yellow,White,1x1,NA,NA,Birthday,,Birthday,Yes,All Year,All Year,NA,Free,Free,Gorgeous,Gorgeous,party,2,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatBirthday1,551,11031,KxQKjRzS2zDaXTS38
birthday hat,#REF!,#REF!,Blue,No,NFS,600,573,Aqua,White,1x1,NA,NA,Birthday,,Birthday,Yes,All Year,All Year,NA,Free,Free,Gorgeous,Gorgeous,party,3,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatBirthday0,551,4800,zndsngwExKbWTahZf
blue rose crown,#REF!,#REF!,NA,Yes,NFS,12000,103,Blue,Blue,1x1,NA,NA,Crafting,,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cool,fairy tale; party; vacation,1,HeadHairOrnament_Top,Yes,Not for sale,1.0.0,Yes,CapOrnamentRose4,959,7377,FMTDb2CYPMNxEfjTu
bowler hat with ribbon,#REF!,#REF!,Red,No,1100,275,51,Red,Red,1x1,990,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Free,Elegant,Elegant,fairy tale; formal; party,1,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBowler3,659,10884,DXBymHgCPFMRd9ruP
bowler hat with ribbon,#REF!,#REF!,Pink,No,1100,275,51,Pink,Pink,1x1,990,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Free,Elegant,Elegant,fairy tale; formal; party,2,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBowler4,659,10885,S6CNHQKo3qjp4rYvW
bowler hat with ribbon,#REF!,#REF!,Green,No,1100,275,51,Green,Green,1x1,990,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,All Year,Free,Free,Elegant,Elegant,fairy tale; formal; party,3,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBowler2,659,10883,X7h5XGKTRyvZYhKvz
bowler hat with ribbon,#REF!,#REF!,Blue,No,1100,275,51,Aqua,Aqua,1x1,990,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Free,Elegant,Elegant,fairy tale; formal; party,4,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBowler0,659,5296,WERjZwsMPdiWTSW75
bowler hat with ribbon,#REF!,#REF!,Beige,No,1100,275,51,Beige,Beige,1x1,990,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Free,Elegant,Elegant,fairy tale; formal; party,5,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBowler1,659,10882,Zw2YFExjKxhPLh8m9
bridal veil,#REF!,#REF!,NA,No,NFS,1150,437,White,Colorful,1x1,12,Heart Crystals,Cyrus,,Wedding Season,Yes,All Year,All Year,NA,Free,Womanly,Elegant,Gorgeous,fairy tale; formal; party; theatrical,1,Headgear_HasEar,No,Not for sale,1.2.0,Yes,CapWigWedding,830,5692,8bavS95pnPk55RWhq
bulb bopper,#REF!,#REF!,NA,No,NFS,245,251,Green,Gray,1x1,NA,NA,Isabelle,,Fireworks Show (1); Fireworks Show (2); Fireworks Show (3); Fireworks Show (4); Fireworks Show (5),Yes,All Year,All Year,NA,Free,Free,Cute,Gorgeous,fairy tale; party; theatrical,1,HeadHairOrnament_Front,Yes,Not for sale,1.4.0,Yes,CapOrnamentFBallband0,1108,9857,kgvf6QgRbhreRM9mx
bun wig,#REF!,#REF!,White,No,1400,350,51,White,Colorful,1x1,1300,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Womanly,Cute,Cute,theatrical,1,Headgear_HasEar,No,For sale,1.0.0,Yes,CapWigDoublebun3,831,11890,iHzbGt8cd8noNaNhK
bun wig,#REF!,#REF!,Pink,No,1400,350,51,Pink,Colorful,1x1,1300,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,All Year,Free,Womanly,Cute,Cute,theatrical,2,Headgear_HasEar,No,For sale,1.0.0,Yes,CapWigDoublebun0,831,5693,3dY6G9juEFXKBWDjL
bun wig,#REF!,#REF!,Orange,No,1400,350,51,Orange,Colorful,1x1,1300,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Womanly,Cute,Cute,theatrical,3,Headgear_HasEar,No,For sale,1.0.0,Yes,CapWigDoublebun6,831,11893,Xi5zbpjv8DuMCGhSg
bun wig,#REF!,#REF!,Mustard,No,1400,350,51,Yellow,Colorful,1x1,1300,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,Summer,Free,Womanly,Cute,Cute,theatrical,4,Headgear_HasEar,No,For sale,1.0.0,Yes,CapWigDoublebun2,831,11889,cLo5L7JBf2GSajf58
bun wig,#REF!,#REF!,Green,No,1400,350,51,Green,Colorful,1x1,1300,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Womanly,Cute,Cute,theatrical,5,Headgear_HasEar,No,For sale,1.0.0,Yes,CapWigDoublebun5,831,11892,MaH5ns6crjCLnh4Xv
bun wig,#REF!,#REF!,Blue,No,1400,350,51,Blue,Colorful,1x1,1300,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Womanly,Cute,Cute,theatrical,6,Headgear_HasEar,No,For sale,1.0.0,Yes,CapWigDoublebun1,831,11888,SyzZ7uDqxmmvT5oWR
bun wig,#REF!,#REF!,Purple,No,1400,350,51,Purple,Colorful,1x1,1300,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Womanly,Cute,Cute,theatrical,7,Headgear_HasEar,No,For sale,1.0.0,Yes,CapWigDoublebun4,831,11891,EB9fqNu8wNpRwg8j7
Bunny Day crown,#REF!,#REF!,NA,Yes,NFS,2400,351,Colorful,Colorful,1x1,NA,NA,Crafting,,Bunny Day (days before); Bunny Day,Yes,All Year,All Year,NA,Free,Free,Elegant,Cute,fairy tale; party; theatrical,1,HeadHairOrnament_Top,Yes,Not for sale,1.1.0,Yes,CapOrnamentCEgg0,1201,12445,22fHRtAozAf9F7KAP
bunny ears,#REF!,#REF!,Black,No,1120,280,51,Black,Black,1x1,1000,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cool,fairy tale; party; theatrical,1,HeadHairOrnament_Front,Yes,For sale,1.0.0,Yes,CapOrnamentFBunny0,952,7209,guAKXMvkQjACjCeko
bunny ears,#REF!,#REF!,Red,No,1120,280,51,Red,Red,1x1,1000,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cool,fairy tale; party; theatrical,2,HeadHairOrnament_Front,Yes,For sale,1.0.0,Yes,CapOrnamentFBunny2,952,11903,Cp6KkLFeWf2ZjrxGG
bunny ears,#REF!,#REF!,Pink,No,1120,280,51,Pink,Pink,1x1,1000,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cool,fairy tale; party; theatrical,3,HeadHairOrnament_Front,Yes,For sale,1.0.0,Yes,CapOrnamentFBunny1,952,11902,ejbHqhzuDWKeRTJHB
bunny ears,#REF!,#REF!,Light blue,No,1120,280,51,Aqua,Aqua,1x1,1000,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cool,fairy tale; party; theatrical,4,HeadHairOrnament_Front,Yes,For sale,1.0.0,Yes,CapOrnamentFBunny3,952,11904,vEGFBZeC8cs8uSHYX
