Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Villager Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
argyle sweater,#REF!,#REF!,White,No,1200,300,51,White,Green,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,Winter,Free,Free,Simple,Elegant,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle7,195,7748,22jF8CGD8WXrECzwD
argyle sweater,#REF!,#REF!,Gray,No,1200,300,51,Gray,Purple,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,2,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle1,195,7742,asRCNMsvrCGPew8ao
argyle sweater,#REF!,#REF!,Black,No,1200,300,51,Black,Blue,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,3,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle3,195,7744,5nftKFQRatJC7xgjB
argyle sweater,#REF!,#REF!,Red,No,1200,300,51,Red,Gray,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,4,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle4,195,7745,nRyNWtuy5uhdJWfQg
argyle sweater,#REF!,#REF!,Pink,No,1200,300,51,Pink,Orange,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,5,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle6,195,7747,wcs4qoRrafHXt9EKj
argyle sweater,#REF!,#REF!,Mustard,No,1200,300,51,Yellow,White,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,6,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle2,195,7743,YnhhYiacfsWJcPCpe
argyle sweater,#REF!,#REF!,Green,No,1200,300,51,Green,Red,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,7,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle0,195,3579,xEqYEzdaBXvj9s346
argyle sweater,#REF!,#REF!,Purple,No,1200,300,51,Purple,White,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,8,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle5,195,7746,f5YsDGb6KcjJHHDvj
argyle vest,#REF!,#REF!,Gray,No,1440,360,51,Gray,White,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Spring,NA,Free,Free,Simple,Elegant,everyday; formal; work,1,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLArgyle4,106,8483,akqeXj6PYe8Bj4aYY
argyle vest,#REF!,#REF!,Red,No,1440,360,51,Red,White,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Spring,NA,Free,Free,Simple,Elegant,everyday; formal; work,2,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLArgyle3,106,8482,SMfqtZmDWDAZPEGvM
argyle vest,#REF!,#REF!,Pink,No,1440,360,51,Pink,White,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Spring,NA,Free,Free,Simple,Elegant,everyday; formal; work,3,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLArgyle1,106,8480,3gRjPwykkZqE2f3tp
argyle vest,#REF!,#REF!,Green,No,1440,360,51,Green,White,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Spring,NA,Free,Free,Simple,Elegant,everyday; formal; work,4,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLArgyle5,106,8484,LsiMSCR4tDsnLMF7K
argyle vest,#REF!,#REF!,Blue,No,1440,360,51,Blue,Aqua,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Spring,NA,Free,Free,Simple,Elegant,everyday; formal; work,5,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLArgyle0,106,3262,QfjxZgK6b3zp2hr7T
argyle vest,#REF!,#REF!,Brown,No,1440,360,51,Brown,White,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Spring,NA,Free,Free,Simple,Elegant,everyday; formal; work,6,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLArgyle2,106,8481,o9fJxQLHiEstT9dtt
athletic jacket,#REF!,#REF!,Black,No,960,240,51,Black,White,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,outdoorsy; comfy; sporty,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLJersey2,93,7199,QhC4BYigzMiswiDSn
athletic jacket,#REF!,#REF!,Berry red,No,960,240,51,Red,White,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,outdoorsy; comfy; sporty,2,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLJersey4,93,7201,YfNJuXFSjQuTwuETC
athletic jacket,#REF!,#REF!,Red,No,960,240,51,Red,White,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,outdoorsy; comfy; sporty,3,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLJersey0,93,3244,zgcZP2SW38SpysHJA
athletic jacket,#REF!,#REF!,Green,No,960,240,51,Green,White,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,outdoorsy; comfy; sporty,4,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLJersey1,93,7198,PzvRHyyS9mQYtTFgw
athletic jacket,#REF!,#REF!,Blue,No,960,240,51,Blue,White,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,outdoorsy; comfy; sporty,5,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLJersey3,93,7200,3zz3YpwYWcYJifHkC
athletic jacket,#REF!,#REF!,Navy blue,No,960,240,51,Blue,White,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,outdoorsy; comfy; sporty,6,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLJersey5,93,7202,ZYQDPwif9z8YR4Wpr
baggy shirt,#REF!,#REF!,Gray,No,NFS,10,53,Gray,Gray,1x1,NA,NA,Recycle box,,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,goth; comfy,1,Yes,Not for sale,1.0.0,Yes,TopsTexTopTshirtsLLoose0,513,4710,LCtayENx9EyLYa4Za
baggy shirt,#REF!,#REF!,Black,No,NFS,10,53,Black,Black,1x1,NA,NA,Recycle box,,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,goth; comfy,2,Yes,Not for sale,1.0.0,Yes,TopsTexTopTshirtsLLoose1,513,8554,7ffsMJC98YG5kro2L
baggy shirt,#REF!,#REF!,Brown,No,NFS,10,53,Brown,Brown,1x1,NA,NA,Recycle box,,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,goth; comfy,3,Yes,Not for sale,1.0.0,Yes,TopsTexTopTshirtsLLoose2,513,8555,zKcqFuTkyBr7coxfb
barista uniform,#REF!,#REF!,Black,No,1600,400,51,Black,White,1x1,1400,Poki,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Free,Cool,Simple,everyday; work,1,Yes,For sale,2.0.0,Yes,TopsTexTopCoatLCafecool0,1445,14752,gA8WSGTYozcJafmy7
barista uniform,#REF!,#REF!,Brown,No,1600,400,51,Red,White,1x1,1400,Poki,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Free,Cool,Simple,everyday; work,2,Yes,For sale,2.0.0,Yes,TopsTexTopCoatLCafecool1,1445,14950,TnxuFuRHZ75rvKKL2
barista uniform,#REF!,#REF!,Green,No,1600,400,51,Green,White,1x1,1400,Poki,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Free,Cool,Simple,everyday; work,3,Yes,For sale,2.0.0,Yes,TopsTexTopCoatLCafecool2,1445,14951,iMtXGDLSCnYdzG5kq
barista uniform,#REF!,#REF!,Chestnut,No,1600,400,51,Beige,White,1x1,1400,Poki,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Free,Cool,Simple,everyday; work,4,Yes,For sale,2.0.0,Yes,TopsTexTopCoatLCafecool3,1445,14952,fKYEur3gLTFkijx9a
baseball shirt,#REF!,#REF!,White,No,1120,280,51,White,Red,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Summer,NA,Free,Free,Active,Simple,sporty; work,1,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHBaseball4,352,9396,hSnStWauqiSxbZNXX
baseball shirt,#REF!,#REF!,Gray,No,1120,280,51,Gray,Blue,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Summer,NA,Free,Free,Active,Simple,sporty; work,2,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHBaseball2,352,9394,fqjd2QBaMZMbwDEhL
baseball shirt,#REF!,#REF!,Black,No,1120,280,51,Black,White,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Summer,NA,Free,Free,Active,Simple,sporty; work,3,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHBaseball3,352,9395,htYo33ejttt75X4mk
baseball shirt,#REF!,#REF!,Red,No,1120,280,51,Red,Black,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Summer,NA,Free,Free,Active,Simple,sporty; work,4,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHBaseball1,352,9393,kA8dp8bAq7K4sFtCm
baseball shirt,#REF!,#REF!,Yellow,No,1120,280,51,Yellow,Black,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Summer,NA,Free,Free,Active,Simple,sporty; work,5,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHBaseball5,352,9397,r5Xs4qK8wvp6fymea
baseball shirt,#REF!,#REF!,Navy blue,No,1120,280,51,Blue,White,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Summer,NA,Free,Free,Active,Simple,sporty; work,6,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHBaseball0,352,4419,vYCgqwhsoMRcDJfF3
basketball tank,#REF!,#REF!,Black,No,1120,280,51,Black,Red,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,1,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNBasketballshirts7,33,8044,9x9KAwjxXjS5iLkEM
basketball tank,#REF!,#REF!,Red,No,1120,280,51,Red,Black,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,2,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNBasketballshirts1,33,8038,uoMWejnjaZ6AyHNQt
basketball tank,#REF!,#REF!,Orange,No,1120,280,51,Orange,Blue,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,3,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNBasketballshirts3,33,8040,vvNhYDS8JMeaS6ixD
basketball tank,#REF!,#REF!,Yellow,No,1120,280,51,Yellow,Green,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,4,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNBasketballshirts5,33,8042,Qp3ibpyH77Cue45i3
basketball tank,#REF!,#REF!,Green,No,1120,280,51,Green,Orange,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,5,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNBasketballshirts2,33,8039,k2LnL52SusAtRrHmq
basketball tank,#REF!,#REF!,Light blue,No,1120,280,51,Aqua,Blue,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,6,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNBasketballshirts6,33,8043,3Zq39RDqBexmDhnbQ
