,Name,Variation,DIY,Buy,Sell,Source,Source Notes,Catalog,Tab,Tag,Customize,Cyrus,Image,HHP Source
32,butterfly shades (Brown),['Brown'],No,1040,260,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassButterfly2.png'],"['Cherry', 'Elise', 'Wolfgang']"
33,candy-skull mask (Orange),Orange,No,NFS,800,Gulliver,,Not for sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthCatrina1.png,
34,candy-skull mask (Blue),Blue,No,NFS,800,Gulliver,,Not for sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthCatrina2.png,
35,candy-skull mask (Purple),Purple,No,NFS,800,Gulliver,,Not for sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthCatrina0.png,
36,cat nose (White),['White'],No,560,140,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryMouthCat0.png'],['Bangle']
37,cat nose (Navy blue),['Navy blue'],No,560,140,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryMouthCat2.png'],['Bangle']
38,cat nose (Brown),['Brown'],No,560,140,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryMouthCat1.png'],['Bangle']
39,cucumber pack,[nan],No,490,122,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryMouthCucumber.png'],"['Pango', 'Gigi', 'Lyman', 'Azalea']"
40,curly mustache (Hair Color),[nan],No,700,175,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryMouthRollingmustacheBlack.png'],"['Pudge', 'Hippeux']"
41,cyber shades (Silver),['Silver'],No,1300,325,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassCyber2.png'],"['Jacques', 'Kid Cat', 'Cyd', 'Biff', 'Elise']"
42,cyber shades (Black),['Black'],No,1300,325,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassCyber1.png'],"['Jacques', 'Kid Cat', 'Cyd', 'Biff', 'Elise']"
43,cyber shades (Red),['Red'],No,1300,325,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassCyber0.png'],"['Jacques', 'Kid Cat', 'Cyd', 'Biff', 'Elise']"
44,cyber shades (Yellow),['Yellow'],No,1300,325,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassCyber5.png'],"['Jacques', 'Kid Cat', 'Cyd', 'Biff', 'Elise']"
45,cyber shades (Green),['Green'],No,1300,325,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassCyber4.png'],"['Jacques', 'Kid Cat', 'Cyd', 'Biff', 'Elise']"
46,cyber shades (Purple),['Purple'],No,1300,325,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassCyber3.png'],"['Jacques', 'Kid Cat', 'Cyd', 'Biff', 'Elise']"
47,DAL eye mask,[nan],No,NFS,1010,Dodo Airlines,Received in mail from DAL after 15 flights,Not for sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDalmask0.png'],
48,DAL sunglasses,[nan],No,NFS,1010,Dodo Airlines,Received in mail from DAL after 75 flights,Not for sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDalglass0.png'],
49,doctor's mask,[nan],No,140,35,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryMouthMaskWhite.png'],"['Murphy', 'Fuchsia', 'Raddle', 'Hospital']"
50,dog nose (White),['White'],No,560,140,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryMouthDog0.png'],"['Maddie', 'Bangle']"
51,dog nose (Black),['Black'],No,560,140,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryMouthDog2.png'],"['Maddie', 'Bangle']"
52,dog nose (Beige),['Beige'],No,560,140,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryMouthDog1.png'],"['Maddie', 'Bangle']"
53,double nose tissues,,No,140,35,Able Sisters,,For sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthTissuedouble0.png,['Hospital']
54,double-bridge glasses (Silver),['Silver'],No,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDoublebridge2.png'],['Elise']
55,double-bridge glasses (Gold),['Gold'],No,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDoublebridge0.png'],"['Pudge', 'Elise', 'Rowan']"
56,double-bridge glasses (Blue),['Blue'],No,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDoublebridge3.png'],['Elise']
57,double-bridge glasses (Purple),['Purple'],No,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDoublebridge1.png'],['Elise']
58,drinking-straw glasses (White),['White'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthStraw3.png'],['Elise']
59,drinking-straw glasses (Pink),['Pink'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthStraw2.png'],['Elise']
60,drinking-straw glasses (Green),['Green'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthStraw0.png'],['Elise']
61,drinking-straw glasses (Blue),['Blue'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthStraw1.png'],['Elise']
62,elegant masquerade mask (Red),['Red'],No,1040,260,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassMasquerade0.png'],
63,elegant masquerade mask (Blue),['Blue'],No,1040,260,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassMasquerade1.png'],
64,eye gauze,,No,140,35,Able Sisters,,For sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassGauze0.png,"['Tabby', 'Hospital']"
65,eye mask (Gray),['Gray'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassMask2.png'],['Olivia']
66,eye mask (Red),['Red'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassMask5.png'],['Olivia']
67,eye mask (Pink),['Pink'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassMask1.png'],['Olivia']
68,eye mask (Orange),['Orange'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassMask4.png'],['Olivia']
69,eye mask (Green),['Green'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassMask3.png'],['Olivia']
70,eye mask (Blue),['Blue'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassMask0.png'],['Olivia']
71,eye patch,[nan],No,140,35,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassPatchBlack.png'],['Rod']
72,facial mask,[nan],No,560,140,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthPackWhite.png'],"['Pango', 'Jambette', 'Gigi', 'Cleo', 'Gwen']"
73,fake nose,[nan],No,490,122,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthNoseRed.png'],
74,flower sunglasses (Red),['Red'],No,770,192,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassFlower0.png'],['Shari']
75,flower sunglasses (Orange),['Orange'],No,770,192,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassFlower1.png'],['Shari']
76,flower sunglasses (Green),['Green'],No,770,192,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassFlower4.png'],['Shari']
77,flower sunglasses (Blue),['Blue'],No,770,192,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassFlower2.png'],['Shari']
78,flower sunglasses (Purple),['Purple'],No,770,192,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassFlower3.png'],['Shari']
79,food mess,[nan],No,490,122,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryMouthPasta.png'],
80,funny glasses (Pink),['Pink'],No,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassEyes1.png'],"['Rosie', 'School']"
81,funny glasses (Blue),['Blue'],No,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassEyes2.png'],"['Rosie', 'School']"
82,funny glasses (Brown),['Brown'],No,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassEyes0.png'],"['Rosie', 'School']"
83,gas mask (Black),['Black'],No,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthGasmask0.png'],['Rocco']
84,gas mask (Avocado),['Avocado'],No,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthGasmask1.png'],"['Vladimir', 'Rocco']"
85,glass-bottle glasses,[nan],No,1100,275,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBottleBlack.png'],"['Elise', 'School']"
86,goatee,[nan],No,980,245,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBeardChinBlack.png'],
87,goggles (Black),['Black'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassGoggles0.png'],"['Del', 'Bill', 'Scoot', 'Sylvia', 'Rory']"
88,goggles (Red),['Red'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassGoggles5.png'],"['Del', 'Bill', 'Scoot', 'Sylvia', 'Rory']"
89,goggles (Pink),['Pink'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassGoggles2.png'],"['Del', 'Bill', 'Scoot', 'Sylvia', 'Rory']"
90,goggles (Green),['Green'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassGoggles3.png'],"['Del', 'Bill', 'Scoot', 'Sylvia', 'Rory']"
91,goggles (Blue),['Blue'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassGoggles1.png'],"['Del', 'Bill', 'Scoot', 'Sylvia', 'Rory']"
92,goggles (Purple),['Purple'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassGoggles4.png'],"['Del', 'Bill', 'Scoot', 'Sylvia', 'Rory']"
93,handlebar mustache (Hair Color),[nan],No,1120,280,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBeardBlack.png'],['Elvis']
94,heart shades (Pink),['Pink'],No,1040,260,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassHeart0.png'],"['Tutu', 'Gayle', 'Pompom', 'Margie', 'Bubbles', 'Elise', 'Bonbon']"
95,heart shades (Yellow),['Yellow'],No,1040,260,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassHeart1.png'],"['Tutu', 'Gayle', 'Pompom', 'Margie', 'Bubbles', 'Elise', 'Bonbon']"
96,heart shades (Green),['Green'],No,1040,260,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassHeart4.png'],"['Tutu', 'Gayle', 'Pompom', 'Margie', 'Bubbles', 'Elise', 'Bonbon']"
97,heart shades (Blue),['Blue'],No,1040,260,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassHeart2.png'],"['Tutu', 'Gayle', 'Pompom', 'Margie', 'Bubbles', 'Elise', 'Bonbon']"
98,heart shades (Purple),['Purple'],No,1040,260,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassHeart3.png'],"['Tutu', 'Gayle', 'Pompom', 'Margie', 'Bubbles', 'Elise', 'Bonbon']"
99,HMD,[nan],No,2000,500,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassHmdWhite.png'],"['Frobert', 'Biff', 'Kitt']"
100,jester's mask (Black),['Black'],No,1760,440,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthPierrot0.png'],['Pietro']
101,jester's mask (Red),['Red'],No,1760,440,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthPierrot1.png'],['Pietro']
102,jester's mask (Green),['Green'],No,1760,440,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthPierrot2.png'],"['Vladimir', 'Pietro']"
103,jester's mask (Blue),['Blue'],No,1760,440,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthPierrot3.png'],['Pietro']
104,Labelle sunglasses (Midnight),['Midnight'],No,2000,500,Label,Added to Able Sisters stock rotation the day after receiving this item from Label,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassKate1.png'],
105,Labelle sunglasses (Passion),['Passion'],No,2000,500,Label,Added to Able Sisters stock rotation the day after receiving this item from Label,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassKate2.png'],
106,Labelle sunglasses (Love),['Love'],No,2000,500,Label,Added to Able Sisters stock rotation the day after receiving this item from Label,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassKate5.png'],
107,Labelle sunglasses (Sunset),['Sunset'],No,2000,500,Label,Added to Able Sisters stock rotation the day after receiving this item from Label,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassKate4.png'],
108,Labelle sunglasses (Ocean),['Ocean'],No,2000,500,Label,Added to Able Sisters stock rotation the day after receiving this item from Label,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassKate3.png'],
109,Labelle sunglasses (Twilight),['Twilight'],No,2000,500,Label,Added to Able Sisters stock rotation the day after receiving this item from Label,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassKate0.png'],
110,ladder shades (Red),['Red'],No,880,220,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBlind0.png'],['Jacques']
111,ladder shades (Pink),['Pink'],No,880,220,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBlind3.png'],['Jacques']
112,ladder shades (Yellow),['Yellow'],No,880,220,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBlind4.png'],['Jacques']
113,ladder shades (Green),['Green'],No,880,220,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBlind2.png'],['Jacques']
114,ladder shades (Blue),['Blue'],No,880,220,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBlind1.png'],['Jacques']
115,ladder shades (Gold),['Gold'],No,880,220,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBlind5.png'],"['Jacques', 'Rowan']"
116,leaf,,Yes,NFS,100,Crafting,,Not for sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthLeafGreen.png,"['Walt', 'Dotty']"
117,Luigi 'stache,[nan],No,1200,300,Nook Shopping Promotion,Not available before March 1st 2021,Not in catalog,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthLuigi0.png'],
118,Mario 'stache,[nan],No,1200,300,Nook Shopping Promotion,Not available before March 1st 2021,Not in catalog,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthMario0.png'],
